sum_hhe,dnl,dnc,dh,bc,dlcp,diic,diicintra,diicflux,diicconnector,df,dawf,dpc,dpcintra,dpcflux,dpcconnector,dbc_pc,dbc_iic,pop,hh_number,hh_100,pop_15,pop_65,elderly,pop_den,lowincome,res_person,commercial,residential,greenery,industrial,enthropy,avg_price,avg_buildyear,building_32,x,y,cooling_degree,newtown,gu,gu_name,decline_level,decline_group1,decline_group2,dong_name
1095.7,1.739,-4.348,2.032,0.014,1.433,1.279,0.48,0.778,0.02,1.739,1.739,1.487,0.333,1.074,0.081,0.62,0.095,32025,12547,39.2,3469,3827,110.3,37238,1051,24.5,0,94.5,5.5,0,0.15,27299.6,29.8 ,29.8,126.738,37.5022,152.41,0,3,부평구,60,2,2,부개3동
4208.8,1.282,-3.846,1.693,0.021,1.07,0.913,0.405,0.472,0.036,1.282,1.282,1.072,0.319,0.645,0.109,0.574,0.139,37397,16681,44.6,3696,5273,142.7,33997,977,22.3,41.6,58.2,0,0.2,0.5,32193.3,27.5 ,27.5,126.72,37.4962,155.01,0,3,부평구,70,2,3,부평1동
1032.8,0.913,-3.196,1.099,0.02,0.551,0.482,0.433,0.046,0.002,0.913,0.913,0.533,0.418,0.078,0.037,0.267,0.065,16277,7755,47.6,1489,2851,191.5,7139,1492,20,0,21.7,78.3,0,0.38,30567,28.6 ,28.6,126.721,37.4793,155.01,0,3,부평구,40,1,2,부평2동
2959,1.299,-1.299,1.53,0.022,1.174,1.034,0.325,0.65,0.059,1.299,1.299,1.454,0.225,0.849,0.38,2.148,0.704,13143,6444,49,1043,2694,258.3,13143,1333,20.4,0,79.2,20.8,0,0.37,25752.2,32.2 ,32.2,126.709,37.4843,155.01,0,3,부평구,20,1,1,부평3동
865.3,0.922,-0.23,1.004,0.018,0.832,0.708,0.225,0.472,0.012,0.922,0.922,0.909,0.159,0.603,0.147,1.26,0.456,36696,17675,48.2,3683,4872,132.3,35285,2120,18.6,59.7,34.6,5.7,0,0.61,27089.9,26.4 ,26.4,126.726,37.5015,152.41,0,3,부평구,60,2,2,부평4동
687.1,1.02,0,1.09,0.03,1.006,0.988,0.068,0.883,0.036,1.02,1.02,1.238,0.058,0.904,0.276,2.482,1.426,33278,15807,47.5,3663,4055,110.7,40094,2070,15.2,71.3,28.7,0,0,0.43,16702.7,27.3 ,27.3,126.73,37.4955,152.41,0,3,부평구,50,1,2,부평5동
1008.9,1.887,-1.887,2.126,0.025,1.722,1.58,0.375,1.137,0.068,1.887,1.887,1.768,0.294,1.299,0.175,1.613,0.395,14668,7018,47.8,1429,2441,170.8,18335,915,21.5,0,88.3,11.7,0,0.26,32959.1,30.4 ,30.4,126.727,37.4855,152.41,0,3,부평구,70,2,3,부평6동
1281.4,0.692,-0.554,0.916,0.02,0.771,0.613,0.166,0.359,0.088,0.692,0.692,1.004,0.109,0.474,0.421,2.441,0.685,2871,1583,55.1,152,855,562.5,1535,403,27.5,10,5.8,25.8,56.3,0.77,10785.7,36.6 ,36.6,126.607,37.4757,157.79,0,7,중구,50,1,2,북성동
1752.1,0.307,-0.396,0.46,0.004,0.332,0.304,0.045,0.216,0.043,0.307,0.307,0.385,0.022,0.262,0.101,0.473,0.124,22826,9061,39.7,3329,2907,87.3,2115,569,28.2,3.9,25,64.2,0,0.55,20376.3,17.9 ,17.9,126.677,37.6179,188.29,0,1,서구,90,2,3,불로대곡동
3003.5,1.653,-0.551,1.985,0.02,1.19,1.026,0.638,0.378,0.011,1.653,1.653,1.209,0.538,0.577,0.094,0.584,0.119,13348,6130,45.9,1076,2618,243.3,6448,1007,24.7,6.4,28.5,65.1,0,0.59,21958.5,36.6 ,36.6,126.696,37.5045,155.01,0,3,부평구,20,1,1,산곡1동
2593.8,1.408,-1.408,1.661,0.017,1.305,1.224,0.241,0.926,0.057,1.408,1.408,1.578,0.131,1.147,0.3,2.001,0.439,31993,11049,34.5,4633,3903,84.2,34775,643,26.7,0.5,99,0.5,0,0.05,32430.9,26.9 ,26.9,126.705,37.5036,155.01,0,3,부평구,90,2,3,산곡2동
260.5,1.681,-5.882,1.994,0.017,1.192,1.047,0.656,0.369,0.022,1.681,1.681,1.292,0.521,0.639,0.132,0.736,0.09,22460,8746,38.9,2144,4420,206.2,15706,940,29.6,0,45.3,54.7,0,0.5,30607.3,32.6 ,32.6,126.705,37.4921,155.01,0,3,부평구,10,1,1,산곡3동
1705.4,0.971,-5.34,1.275,0.013,0.979,0.881,0.142,0.687,0.051,0.971,0.971,1.013,0.085,0.801,0.127,0.912,0.232,34432,14038,40.8,4152,4706,113.3,16165,3661,22.4,0,38.4,57.8,5,0.6,24707.9,26.8 ,26.8,126.747,37.5203,126.00,0,3,부평구,80,2,3,삼산1동
1996.5,1.818,-4.545,2.365,0.021,1.797,1.628,0.259,1.3,0.069,1.818,1.818,1.823,0.147,1.523,0.152,0.812,0.201,29409,10242,34.8,4532,2934,64.7,23340,1240,26,5.5,63.5,31,0,0.59,47623.4,14.5 ,14.5,126.739,37.5125,152.41,0,3,부평구,100,2,4,삼산2동
